tag_name,category,category_description,steel_grade,size,method,outlier_count,outlier_ratio,risk_level,count,direction,filter_removal_rate,detail_1,detail_2
PINCHROLL_2_ACTUAL_TORQUE,08_Pinchroll,핀치롤,N5,D10,STL,431,31.505847953216374,high_residual,1368,,,"seasonality=none, strength=0.052",trend_strength=0.700
PINCHROLL_3_ACTUAL_TORQUE,08_Pinchroll,핀치롤,N5,D10,STL,580,42.39766081871345,high_residual,1368,,,"seasonality=none, strength=0.034",trend_strength=0.829
PINCHROLL_4_ACTUAL_TORQUE,08_Pinchroll,핀치롤,N5,D10,STL,593,43.34795321637427,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.642
PINCHROLL_2_REFERENCE_TORQUE,08_Pinchroll,핀치롤,N5,D10,STL,590,43.12865497076023,strong_seasonal,1368,,,"seasonality=strong, strength=0.860",trend_strength=1.000
PINCHROLL_3_REFERENCE_TORQUE,08_Pinchroll,핀치롤,N5,D10,STL,526,38.45029239766082,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.846
PINCHROLL_4_REFERENCE_TORQUE,08_Pinchroll,핀치롤,N5,D10,STL,595,43.494152046783626,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.794
PINCHROLL_3_REFERENCE_SPEED,08_Pinchroll,핀치롤,N5,D10,STL,501,36.622807017543856,high_residual,1368,,,"seasonality=none, strength=0.077",trend_strength=0.961
PINCHROLL_4_REFERENCE_SPEED,08_Pinchroll,핀치롤,N5,D10,STL,481,35.16081871345029,high_residual,1368,,,"seasonality=none, strength=0.083",trend_strength=0.966
PR6L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,506,36.98830409356725,high_residual,1368,,,"seasonality=none, strength=0.050",trend_strength=0.971
PR6L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,115,20.833333333333336,high_residual,552,,,"seasonality=none, strength=0.000",trend_strength=0.421
PR7L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,587,42.909356725146196,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.714
PR7L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,190,34.42028985507246,high_residual,552,,,"seasonality=none, strength=0.000",trend_strength=0.425
PR8L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,626,45.760233918128655,high_residual,1368,,,"seasonality=none, strength=0.001",trend_strength=0.714
PR9L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,597,43.640350877192986,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.946
PR6L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,488,35.67251461988304,high_residual,1368,,,"seasonality=none, strength=0.002",trend_strength=0.969
PR6L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,178,32.2463768115942,high_residual,552,,,"seasonality=none, strength=0.001",trend_strength=0.952
PR7L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,523,38.23099415204678,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.813
PR7L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,175,31.70289855072464,high_residual,552,,,"seasonality=none, strength=0.000",trend_strength=0.350
PR8L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,608,44.44444444444444,high_residual,1368,,,"seasonality=none, strength=0.001",trend_strength=0.899
PR9L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),N5,D10,STL,534,39.03508771929825,high_residual,1368,,,"seasonality=none, strength=0.015",trend_strength=0.918
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,N5,D12,STL,1123,38.670798898071624,high_residual,2904,,,"seasonality=none, strength=0.000",trend_strength=0.970
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,N5,D12,STL,1260,43.388429752066116,high_residual,2904,,,"seasonality=none, strength=0.010",trend_strength=0.941
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,N5,D12,STL,1263,43.49173553719009,high_residual,2904,,,"seasonality=none, strength=0.000",trend_strength=0.907
